age,annual_income,employment_years,employment_type,home_ownership,credit_score,existing_debt,loan_amount,loan_term_months,loan_purpose,num_credit_lines,num_late_payments,has_bankruptcy,debt_to_income,approved
41,49923.16,21.5,Self-Employed,MORTGAGE,634.0,0.0,34278.48,36,car,9,0,0,0.687,1
41,17750.88,14.9,Self-Employed,OWN,564.0,0.0,5874.47,36,debt_consolidation,2,3,0,0.331,0
29,54494.6,7.7,Retired,RENT,637.0,27090.79,9321.99,36,debt_consolidation,2,2,0,0.668,0
22,71759.43,0.0,Salaried,OWN,726.0,11637.56,22534.18,48,education,6,3,0,0.476,0
46,42615.17,21.7,Salaried,RENT,604.0,16826.3,20404.68,60,debt_consolidation,12,0,0,0.874,1
64,121572.19,45.8,Unemployed,RENT,690.0,1160.41,42960.13,36,medical,5,1,0,0.363,1
21,31551.64,0.0,Self-Employed,MORTGAGE,553.0,2933.4,21500.51,48,debt_consolidation,6,2,0,0.774,0
62,54650.86,40.5,Salaried,MORTGAGE,720.0,19225.96,31970.43,60,medical,14,0,1,0.937,0
61,48150.54,26.9,Salaried,RENT,678.0,11297.31,21035.41,24,education,3,2,0,0.671,1
32,46623.09,8.4,Self-Employed,MORTGAGE,542.0,15415.93,500.0,24,medical,5,3,0,0.341,0
50,46297.3,29.4,Salaried,OWN,630.0,11479.65,12108.93,12,education,12,1,0,0.51,0
26,51717.55,5.9,Salaried,OWN,734.0,11318.34,15018.55,36,car,7,2,0,0.509,0
57,74905.26,38.8,Salaried,RENT,537.0,11085.49,18777.01,36,debt_consolidation,1,1,0,0.399,1
54,97622.97,31.2,Salaried,MORTGAGE,554.0,6921.43,42774.9,36,education,3,1,0,0.509,1
36,48965.68,13.3,Unemployed,RENT,644.0,22544.05,21656.95,36,home_improvement,14,1,0,0.903,0
21,73692.63,0.0,Salaried,RENT,842.0,35748.03,4803.66,24,business,12,2,0,0.55,1
68,34513.87,45.2,Unemployed,RENT,589.0,3251.02,19359.51,36,medical,14,1,0,0.655,1
41,71896.13,14.0,Salaried,MORTGAGE,695.0,6067.18,28990.3,12,business,7,0,0,0.488,1
64,33490.07,34.6,Retired,MORTGAGE,673.0,6625.48,15791.52,36,education,9,0,0,0.669,1
53,84569.59,26.7,Self-Employed,RENT,597.0,25460.96,46425.77,24,business,2,0,0,0.85,1
58,148052.24,42.0,Salaried,RENT,665.0,32975.27,36510.58,24,medical,10,2,0,0.469,1
57,46117.97,33.9,Salaried,MORTGAGE,610.0,14985.02,30058.82,12,medical,8,1,0,0.977,0
28,16378.56,6.9,Unemployed,MORTGAGE,618.0,3973.65,6086.95,48,home_improvement,0,3,0,0.614,0
36,37270.73,11.9,Self-Employed,MORTGAGE,500.0,8676.82,26183.04,24,medical,12,1,1,0.935,0
42,90756.7,12.8,Salaried,MORTGAGE,648.0,55539.63,20076.61,48,education,6,1,1,0.833,0
43,64636.75,24.7,Retired,MORTGAGE,731.0,11067.07,44447.42,48,medical,14,2,0,0.859,1
20,55517.68,0.0,Salaried,OWN,655.0,27536.33,12169.65,36,home_improvement,13,2,0,0.715,0
46,81172.69,21.8,Salaried,RENT,748.0,37910.04,73847.36,24,home_improvement,6,0,0,1.377,0
26,62456.57,3.8,Salaried,OWN,702.0,20336.74,13092.97,48,business,0,1,0,0.535,1
56,90116.86,34.9,Unemployed,RENT,645.0,0.0,55090.0,12,car,2,1,0,0.611,1
53,77630.2,28.1,Salaried,OWN,593.0,19769.2,25425.53,48,business,4,0,0,0.582,0
65,104909.17,35.6,Unemployed,OWN,606.0,18127.86,56966.15,48,home_improvement,4,2,0,0.716,0
56,58653.24,30.8,Salaried,RENT,518.0,14840.07,22985.91,36,home_improvement,5,0,0,0.645,0
37,77082.36,12.0,Salaried,OWN,626.0,6980.19,14010.02,24,car,14,0,0,0.272,0
68,42042.51,42.9,Salaried,RENT,663.0,15279.87,500.0,48,debt_consolidation,10,0,0,0.375,1
39,36288.99,20.9,Unemployed,MORTGAGE,804.0,14433.86,32715.13,36,car,2,0,0,1.299,1
34,115080.12,7.1,Salaried,RENT,698.0,48967.01,47712.78,24,debt_consolidation,10,2,0,0.84,1
65,54617.1,44.2,Retired,OWN,572.0,10523.25,500.0,48,debt_consolidation,0,0,0,0.202,1
37,73309.12,15.6,Salaried,RENT,520.0,6677.45,33760.44,36,home_improvement,0,0,0,0.552,1
21,52149.51,2.8,Retired,RENT,631.0,15788.38,28052.13,60,car,9,1,0,0.841,0
42,36561.18,19.5,Salaried,OWN,723.0,18770.92,9395.63,48,education,3,1,0,0.77,1
59,49290.74,40.2,Salaried,OWN,630.0,12835.72,12733.23,24,car,6,1,0,0.519,1
27,100508.44,4.3,Salaried,MORTGAGE,699.0,31946.06,39804.52,24,home_improvement,12,1,0,0.714,1
42,64706.7,21.7,Salaried,RENT,634.0,13896.51,41445.86,36,business,5,1,0,0.855,0
24,20832.37,0.0,Unemployed,MORTGAGE,715.0,3634.82,8749.43,48,home_improvement,2,2,0,0.594,1
53,44019.05,20.4,Salaried,RENT,506.0,15351.26,30489.58,24,education,14,2,0,1.041,0
42,119508.99,21.5,Unemployed,OWN,794.0,27975.86,74841.77,36,car,4,2,0,0.86,0
35,44050.92,14.7,Self-Employed,OWN,550.0,13679.06,15604.73,48,debt_consolidation,9,1,0,0.665,0
29,19925.6,8.9,Self-Employed,RENT,721.0,6498.26,1711.51,12,medical,2,2,0,0.412,0
47,126313.78,22.9,Salaried,RENT,626.0,38162.87,44799.18,12,debt_consolidation,2,1,0,0.657,1
52,68954.09,36.0,Retired,RENT,640.0,23008.48,34842.26,48,debt_consolidation,11,3,1,0.839,1
66,47334.45,42.2,Unemployed,RENT,628.0,5777.13,19500.78,36,debt_consolidation,13,2,0,0.534,0
40,40712.53,19.7,Retired,RENT,673.0,4596.27,21450.82,36,debt_consolidation,0,3,0,0.64,1
26,84219.01,6.4,Salaried,MORTGAGE,691.0,20516.32,48230.88,24,home_improvement,14,1,0,0.816,1
61,37384.38,45.9,Salaried,RENT,745.0,9242.01,18922.92,36,debt_consolidation,4,2,0,0.753,1
50,87040.45,26.7,Unemployed,MORTGAGE,777.0,14940.63,30023.24,36,home_improvement,14,0,0,0.517,1
54,64286.03,29.4,Self-Employed,MORTGAGE,680.0,18395.45,32398.66,36,debt_consolidation,7,0,0,0.79,1
23,55400.34,0.0,Salaried,RENT,804.0,21397.42,46929.45,60,home_improvement,11,0,0,1.233,0
34,52720.38,18.2,Salaried,MORTGAGE,658.0,22571.01,5378.75,12,debt_consolidation,0,1,0,0.53,0
57,44914.5,36.7,Salaried,MORTGAGE,747.0,20743.28,22343.05,36,home_improvement,2,0,1,0.959,0
61,82687.2,40.8,Self-Employed,RENT,689.0,4364.21,63371.52,60,medical,14,1,0,0.819,0
40,31803.4,30.5,Salaried,OWN,601.0,2402.75,5250.17,24,debt_consolidation,2,1,1,0.241,0
59,21786.32,38.3,Salaried,MORTGAGE,666.0,4500.03,13076.59,60,business,13,1,0,0.807,0
61,66650.65,33.8,Salaried,MORTGAGE,695.0,17465.34,41786.19,36,education,1,3,0,0.889,1
38,67212.81,15.2,Salaried,MORTGAGE,647.0,14399.49,7032.53,24,home_improvement,9,0,0,0.319,1
64,62325.17,38.1,Salaried,RENT,687.0,10414.79,33809.68,12,debt_consolidation,5,3,0,0.71,0
32,60105.95,8.4,Salaried,RENT,728.0,12281.89,20780.84,36,home_improvement,6,4,0,0.55,0
30,41761.49,6.4,Self-Employed,MORTGAGE,648.0,13467.96,16199.73,60,medical,10,0,0,0.71,1
53,72674.17,28.7,Retired,RENT,385.0,3674.16,24346.51,60,debt_consolidation,2,2,0,0.386,0
51,47916.78,23.4,Salaried,OWN,801.0,28822.11,31746.68,36,education,5,0,0,1.264,0
25,38424.22,9.4,Retired,OWN,623.0,9727.05,14508.06,24,debt_consolidation,8,1,0,0.631,0
61,41942.48,40.2,Self-Employed,OWN,576.0,17096.89,12890.49,36,car,5,2,0,0.715,1
28,134634.62,5.1,Retired,MORTGAGE,549.0,21945.34,41834.33,36,business,3,1,0,0.474,0
59,20588.99,40.0,Salaried,OWN,620.0,6921.04,6831.47,24,medical,0,2,0,0.668,0
18,62937.29,0.0,Self-Employed,OWN,599.0,16679.24,11586.31,12,education,9,0,0,0.449,0
59,21172.21,38.1,Salaried,MORTGAGE,584.0,8014.13,6469.66,36,home_improvement,0,1,0,0.684,1
58,46438.46,38.7,Retired,RENT,589.0,10225.89,19668.26,36,home_improvement,2,1,0,0.644,0
58,39465.66,36.5,Salaried,MORTGAGE,698.0,19051.44,18978.1,48,home_improvement,3,0,0,0.964,0
52,17283.12,32.7,Salaried,RENT,833.0,452.67,11075.16,36,home_improvement,10,0,0,0.667,1
42,59546.86,23.0,Unemployed,OWN,724.0,23366.55,26688.65,12,education,1,2,1,0.841,0
54,40537.43,32.7,Salaried,MORTGAGE,751.0,10856.25,12368.22,12,home_improvement,4,1,0,0.573,0
32,17161.04,9.1,Retired,MORTGAGE,616.0,1668.93,3394.32,48,business,1,3,0,0.295,0
58,74591.66,42.1,Salaried,OWN,659.0,40489.09,34229.92,48,debt_consolidation,7,2,0,1.002,1
46,100458.81,22.1,Salaried,MORTGAGE,688.0,52972.4,37825.34,24,education,2,1,0,0.904,1
41,103265.87,20.6,Salaried,RENT,591.0,0.0,39564.93,60,education,2,0,0,0.383,1
44,58657.94,23.7,Self-Employed,MORTGAGE,612.0,16219.96,26543.06,48,education,4,2,1,0.729,0
47,50162.8,22.6,Self-Employed,MORTGAGE,727.0,17850.4,25275.92,24,education,3,2,0,0.86,0
19,95232.67,0.0,Retired,MORTGAGE,748.0,30117.88,43230.59,24,car,0,3,0,0.77,0
25,113685.57,1.6,Self-Employed,MORTGAGE,656.0,54265.47,41597.14,60,debt_consolidation,6,1,0,0.843,1
30,86403.58,6.0,Self-Employed,MORTGAGE,542.0,38548.52,20712.98,36,education,7,1,0,0.686,0
23,30614.57,0.0,Self-Employed,RENT,623.0,8871.43,8493.8,24,home_improvement,6,1,0,0.567,0
40,54212.81,15.4,Salaried,MORTGAGE,520.0,32070.43,30882.43,36,home_improvement,6,1,0,1.161,0
52,61068.9,31.1,Self-Employed,OWN,657.0,23849.05,19253.97,24,medical,14,0,0,0.706,1
52,19834.77,35.1,Retired,OWN,673.0,3913.16,2594.22,48,debt_consolidation,4,1,1,0.328,1
42,61987.02,22.2,Retired,MORTGAGE,626.0,10361.0,39170.52,48,education,5,1,1,0.799,1
62,152740.54,29.6,Salaried,OWN,672.0,66671.43,32308.34,48,car,7,5,1,0.648,1
47,67505.75,27.6,Salaried,RENT,688.0,8847.09,27478.18,48,home_improvement,1,0,0,0.538,0
22,102406.61,0.0,Self-Employed,MORTGAGE,673.0,19307.67,51022.31,48,business,14,2,0,0.687,0
57,53715.53,36.8,Self-Employed,RENT,542.0,11498.57,21520.79,36,education,7,2,0,0.615,1
47,47258.64,24.9,Salaried,MORTGAGE,627.0,14335.81,500.0,60,car,10,2,0,0.314,0
51,59316.08,28.2,Retired,MORTGAGE,687.0,13107.74,28358.88,24,business,4,1,0,0.699,1
47,32600.62,24.6,Salaried,MORTGAGE,792.0,1710.04,21688.95,24,car,10,2,0,0.718,1
46,30276.05,23.9,Salaried,OWN,626.0,12846.49,16873.04,60,home_improvement,13,2,0,0.982,0
22,92332.57,5.4,Self-Employed,MORTGAGE,700.0,17482.27,500.0,60,debt_consolidation,8,0,0,0.195,1
47,97360.04,24.9,Self-Employed,OWN,729.0,53839.16,80365.73,36,medical,3,1,0,1.378,0
59,29865.13,41.3,Retired,RENT,632.0,8828.09,4026.71,36,business,10,0,0,0.43,1
33,79538.73,14.8,Salaried,MORTGAGE,753.0,35003.49,14660.27,24,business,12,3,0,0.624,0
49,46935.05,29.7,Salaried,MORTGAGE,758.0,16175.19,26113.51,48,debt_consolidation,10,0,0,0.901,1
19,58099.03,0.0,Retired,MORTGAGE,774.0,25985.28,28501.54,12,car,9,2,0,0.938,1
36,61704.33,18.5,Salaried,OWN,691.0,20704.94,25673.14,36,business,6,0,0,0.752,1
40,80593.66,16.2,Salaried,RENT,850.0,22991.38,23059.36,36,business,2,1,0,0.571,1
69,51090.77,49.9,Self-Employed,RENT,595.0,21150.82,34035.21,60,home_improvement,10,1,0,1.08,1
29,99218.62,3.1,Retired,RENT,841.0,61802.86,38907.08,60,car,6,3,0,1.015,0
32,57222.73,5.3,Retired,MORTGAGE,719.0,11989.9,4969.03,60,education,3,1,0,0.296,1
39,66976.17,24.9,Retired,OWN,771.0,24730.22,43297.41,48,debt_consolidation,7,0,0,1.016,0
69,32317.65,43.2,Salaried,RENT,621.0,8053.99,14344.42,24,car,0,2,0,0.693,1
62,144253.8,44.6,Unemployed,RENT,726.0,47013.59,89870.31,12,medical,7,0,0,0.949,1
19,62001.41,0.0,Salaried,RENT,778.0,15892.44,31900.33,36,medical,8,1,0,0.771,1
30,70017.38,6.3,Salaried,OWN,552.0,0.0,61497.98,24,home_improvement,5,2,0,0.878,0
60,21936.5,37.8,Salaried,MORTGAGE,635.0,4825.42,7414.67,48,education,10,3,0,0.558,0
21,32488.74,0.0,Salaried,MORTGAGE,457.0,12993.33,13100.07,36,home_improvement,8,2,0,0.803,0
62,91029.77,39.9,Salaried,OWN,634.0,12308.96,49517.11,60,medical,5,0,0,0.679,1
32,56581.96,5.7,Unemployed,RENT,577.0,21961.83,19194.95,36,education,10,0,1,0.727,0
65,18828.18,41.4,Retired,RENT,630.0,5225.6,10553.71,36,medical,1,1,0,0.838,0
33,82383.87,14.7,Salaried,OWN,850.0,18229.61,500.0,48,education,7,1,0,0.227,1
40,37350.76,19.0,Salaried,OWN,805.0,14412.62,14396.6,36,car,2,2,1,0.771,0
52,99275.94,24.1,Salaried,RENT,520.0,34960.49,37665.44,24,debt_consolidation,9,2,0,0.732,1
24,46914.5,5.4,Self-Employed,RENT,700.0,14688.09,17459.56,48,medical,0,1,0,0.685,0
46,54304.01,24.0,Unemployed,MORTGAGE,722.0,21851.12,12197.47,36,medical,12,1,0,0.627,0
44,88386.74,19.8,Self-Employed,MORTGAGE,620.0,24789.36,51372.54,24,car,0,4,0,0.862,1
58,31296.25,39.0,Salaried,OWN,666.0,103.28,9361.05,36,debt_consolidation,7,3,0,0.302,1
69,29839.15,46.3,Retired,OWN,675.0,5767.37,13130.86,60,education,9,0,0,0.633,1
52,44433.58,25.3,Salaried,OWN,529.0,0.0,17443.17,24,home_improvement,6,4,0,0.393,0
39,74130.8,24.4,Self-Employed,RENT,557.0,25842.35,37070.8,36,business,3,1,0,0.849,0
39,25199.04,16.9,Salaried,MORTGAGE,666.0,9687.27,17291.38,24,education,3,0,0,1.071,0
39,21289.79,16.7,Self-Employed,RENT,659.0,8329.74,9346.66,36,business,12,1,0,0.83,0
60,74002.97,36.4,Salaried,RENT,586.0,23929.91,42054.36,60,medical,1,1,0,0.892,1
34,36261.46,16.7,Salaried,OWN,579.0,14330.12,15555.22,36,business,10,3,0,0.824,0
26,40291.14,1.9,Self-Employed,OWN,642.0,544.31,12038.93,48,car,4,3,0,0.312,0
35,19372.21,6.8,Salaried,OWN,730.0,4530.48,7200.43,48,business,0,1,0,0.606,0
19,34909.36,0.0,Self-Employed,MORTGAGE,643.0,1318.27,11984.09,24,car,6,0,0,0.381,1
23,48835.67,6.3,Self-Employed,RENT,796.0,9584.03,25083.58,48,car,1,0,0,0.71,0
22,78056.56,3.3,Salaried,RENT,587.0,38438.0,32887.6,60,business,11,1,0,0.914,0
58,33335.72,35.0,Salaried,RENT,667.0,13800.51,8038.81,60,car,11,1,0,0.655,1
55,112272.93,38.5,Unemployed,RENT,618.0,39221.74,39925.1,48,home_improvement,3,1,0,0.705,1
54,34812.16,35.0,Salaried,MORTGAGE,703.0,7754.65,3300.77,24,education,11,4,0,0.318,1
42,34837.65,18.9,Salaried,OWN,580.0,3517.24,12648.83,24,education,10,0,0,0.464,1
55,105733.68,32.3,Salaried,RENT,823.0,29399.69,42321.09,24,education,10,2,0,0.678,1
26,54487.69,5.3,Salaried,MORTGAGE,498.0,22699.65,41502.71,48,education,1,0,0,1.178,0
64,37197.16,38.7,Salaried,MORTGAGE,804.0,11586.2,24910.58,36,car,1,2,0,0.981,1
44,45362.15,22.0,Self-Employed,MORTGAGE,658.0,550.99,8763.29,48,business,2,3,0,0.205,0
66,96426.54,45.2,Self-Employed,RENT,700.0,25619.73,42461.8,48,business,12,1,0,0.706,1
25,102038.09,0.0,Salaried,MORTGAGE,770.0,0.0,45290.84,24,medical,4,1,0,0.444,1
43,32584.87,20.2,Salaried,RENT,727.0,12076.85,11532.19,60,car,7,0,0,0.725,0
54,47991.69,30.8,Retired,MORTGAGE,584.0,7009.13,17596.74,12,debt_consolidation,7,0,0,0.513,1
43,51281.14,25.1,Unemployed,MORTGAGE,704.0,3411.83,16882.27,24,debt_consolidation,14,1,0,0.396,0
41,29937.88,11.6,Salaried,OWN,818.0,11157.54,23188.14,48,medical,2,0,0,1.147,1
26,47674.76,2.5,Self-Employed,MORTGAGE,570.0,15918.92,15101.61,24,debt_consolidation,11,1,0,0.651,0
37,49151.44,13.1,Retired,MORTGAGE,841.0,14001.27,23012.09,24,education,1,0,1,0.753,1
30,86690.95,11.8,Retired,OWN,685.0,50172.92,500.0,60,car,14,3,0,0.585,0
33,89653.95,10.8,Salaried,OWN,611.0,30953.02,50628.81,60,medical,8,1,1,0.91,0
53,41580.86,38.2,Self-Employed,MORTGAGE,570.0,6372.54,26480.81,48,business,3,3,0,0.79,0
50,44047.48,30.6,Self-Employed,MORTGAGE,630.0,14442.31,8351.14,24,debt_consolidation,6,0,0,0.517,1
49,68332.87,25.4,Self-Employed,MORTGAGE,474.0,14150.94,20337.41,24,car,10,2,0,0.505,0
36,36585.45,15.0,Retired,RENT,613.0,16098.1,17937.87,24,business,6,1,0,0.93,0
67,65796.38,43.6,Salaried,OWN,626.0,19222.19,26574.64,24,car,1,1,0,0.696,1
22,46912.84,3.4,Salaried,OWN,553.0,14401.7,23140.88,60,medical,4,0,0,0.8,1
35,30191.05,7.7,Self-Employed,RENT,717.0,1015.77,10342.0,24,medical,13,1,0,0.376,0
24,30381.27,0.0,Retired,OWN,630.0,7874.91,23474.18,48,business,5,1,0,1.032,0
35,101066.03,14.8,Unemployed,RENT,593.0,24413.52,26888.82,12,debt_consolidation,7,2,0,0.508,0
68,45332.94,50.9,Salaried,OWN,621.0,4368.64,42536.57,36,business,2,1,0,1.035,0
37,111321.43,6.2,Unemployed,RENT,682.0,24131.68,72179.12,12,debt_consolidation,0,1,1,0.865,0
65,37918.02,48.5,Salaried,RENT,657.0,11957.94,21477.64,12,debt_consolidation,4,1,0,0.882,1
43,56704.15,20.4,Retired,MORTGAGE,587.0,14139.04,10881.78,24,home_improvement,13,0,0,0.441,0
54,162159.93,24.5,Self-Employed,RENT,661.0,6192.08,94366.78,60,medical,8,1,0,0.62,1
41,28891.61,7.0,Salaried,RENT,645.0,6038.85,15046.39,48,debt_consolidation,5,3,0,0.73,0
31,18979.08,2.9,Salaried,RENT,547.0,3412.37,500.0,48,medical,7,2,0,0.206,0
57,93273.85,34.9,Salaried,OWN,624.0,26025.93,11107.04,24,home_improvement,12,1,0,0.398,1
68,32422.1,45.7,Salaried,MORTGAGE,702.0,8521.5,15287.85,48,medical,13,1,0,0.734,1
31,48515.9,11.5,Salaried,OWN,701.0,9133.51,18112.93,48,medical,4,4,0,0.562,0
58,36572.1,33.8,Unemployed,MORTGAGE,629.0,6670.77,10851.1,36,car,12,1,0,0.479,1
31,56054.59,4.6,Salaried,RENT,711.0,14578.87,34517.85,48,business,12,1,0,0.876,0
55,30477.13,31.3,Retired,RENT,562.0,12021.6,6803.84,60,home_improvement,0,2,0,0.618,0
59,44802.98,37.1,Salaried,MORTGAGE,565.0,13073.33,13841.96,60,debt_consolidation,13,1,1,0.601,0
41,61384.19,19.9,Self-Employed,RENT,627.0,28449.14,16610.2,60,education,3,1,0,0.734,0
56,29609.35,30.8,Self-Employed,OWN,785.0,12435.29,14864.9,36,debt_consolidation,11,3,0,0.922,0
32,34542.92,13.6,Salaried,OWN,665.0,16390.7,1938.15,12,home_improvement,13,0,0,0.531,1
22,41204.74,0.0,Salaried,MORTGAGE,625.0,18760.28,12380.61,24,education,8,1,1,0.756,0
23,23994.8,0.0,Self-Employed,OWN,789.0,11624.1,1330.44,24,business,4,0,0,0.54,1
41,39684.64,16.8,Salaried,MORTGAGE,624.0,3056.85,13390.59,36,medical,12,2,0,0.414,1
64,52020.77,46.3,Salaried,OWN,850.0,18057.13,28331.02,36,education,7,3,0,0.892,1
24,40143.89,1.5,Self-Employed,RENT,604.0,17372.19,22006.05,48,education,11,3,0,0.981,0
41,42800.79,16.2,Salaried,RENT,559.0,19682.12,10891.96,36,car,10,2,0,0.714,0
54,48535.42,35.7,Salaried,OWN,635.0,6522.78,24591.17,48,medical,4,2,0,0.641,1
28,35317.3,14.6,Salaried,RENT,628.0,12311.86,12819.03,60,debt_consolidation,8,0,0,0.712,1
55,69253.66,33.8,Self-Employed,RENT,577.0,18094.63,46553.49,12,debt_consolidation,3,0,0,0.933,1
33,100507.64,15.9,Retired,OWN,850.0,52973.46,37590.6,12,debt_consolidation,0,1,0,0.901,1
60,38863.46,42.1,Salaried,OWN,679.0,1628.62,500.0,48,education,10,1,1,0.055,0
48,62479.83,23.6,Salaried,OWN,692.0,8410.2,36171.84,36,home_improvement,3,0,0,0.714,1
46,43485.87,24.1,Salaried,MORTGAGE,608.0,0.0,13401.48,36,debt_consolidation,7,2,0,0.308,0
27,58849.8,0.0,Retired,RENT,598.0,15989.05,20312.6,60,debt_consolidation,1,0,0,0.617,1
42,107246.99,19.2,Retired,MORTGAGE,742.0,63230.26,50104.15,24,education,9,0,0,1.057,1
62,63217.08,37.5,Salaried,MORTGAGE,499.0,15383.8,7273.66,36,education,2,1,0,0.358,1
19,20197.07,0.0,Salaried,MORTGAGE,547.0,5355.35,8380.38,60,education,3,2,0,0.68,0
57,61512.63,32.0,Self-Employed,OWN,628.0,20455.15,31180.72,36,medical,2,1,0,0.839,1
43,90801.57,19.9,Self-Employed,RENT,772.0,21116.49,42932.15,36,education,13,0,0,0.705,1
55,43879.47,35.1,Self-Employed,MORTGAGE,616.0,13379.02,12295.63,12,business,9,1,0,0.585,1
52,80645.43,29.5,Salaried,MORTGAGE,687.0,24905.87,48257.13,36,education,9,1,1,0.907,0
40,34715.52,10.5,Salaried,MORTGAGE,652.0,4275.79,6960.49,12,education,6,1,0,0.324,0
34,23323.82,9.0,Salaried,MORTGAGE,767.0,5501.93,6411.62,36,home_improvement,12,3,0,0.511,1
50,52605.95,21.9,Self-Employed,RENT,507.0,19006.0,19611.48,36,education,0,2,0,0.734,0
25,20368.84,4.0,Salaried,MORTGAGE,716.0,7929.31,9351.21,60,home_improvement,6,2,0,0.848,0
48,43482.53,28.0,Salaried,MORTGAGE,632.0,19339.95,14570.62,48,home_improvement,1,2,0,0.78,0
22,93285.61,1.0,Retired,MORTGAGE,733.0,28015.11,60236.14,12,business,10,2,0,0.946,0
51,18866.04,25.9,Unemployed,OWN,576.0,5723.35,8660.59,48,business,14,2,0,0.762,0
50,25854.8,29.0,Unemployed,MORTGAGE,652.0,9373.08,10733.14,36,car,11,0,0,0.778,0
22,29260.21,0.0,Self-Employed,OWN,641.0,4704.59,13226.41,48,home_improvement,2,2,0,0.613,0
57,47493.12,30.4,Self-Employed,OWN,560.0,7344.01,25958.85,24,education,11,1,0,0.701,1
39,40828.74,20.0,Salaried,MORTGAGE,535.0,9442.88,18297.6,48,medical,3,1,0,0.679,0
58,98673.15,39.3,Salaried,RENT,598.0,5796.79,3759.11,60,debt_consolidation,5,1,0,0.097,1
20,78997.71,1.8,Self-Employed,MORTGAGE,662.0,24571.06,48812.83,12,medical,8,2,0,0.929,1
27,62795.36,2.6,Salaried,OWN,582.0,25580.46,26621.15,36,debt_consolidation,6,1,0,0.831,0
43,52723.43,25.7,Salaried,RENT,620.0,7565.47,28310.93,36,debt_consolidation,2,2,1,0.68,0
27,59671.8,3.0,Self-Employed,OWN,480.0,18812.87,19024.04,24,car,7,1,0,0.634,0
35,31856.89,15.6,Salaried,OWN,617.0,4957.9,1104.05,36,education,2,0,0,0.19,1
52,75252.56,28.0,Self-Employed,RENT,742.0,7338.15,500.0,48,car,10,2,0,0.104,1
25,28112.73,2.1,Salaried,MORTGAGE,713.0,15696.3,5935.34,24,business,1,1,0,0.769,1
53,74435.52,21.3,Unemployed,RENT,642.0,7418.62,37475.22,12,car,12,0,0,0.603,1
